url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
https://www.cheese.com/aarewasser/,cow,Switzerland,NA,NA,semi-soft,NA,NA,buttery,washed,yellow,sweet,buttery,FALSE,FALSE,NA,NA,Jumi
https://www.cheese.com/abbaye-de-belloc/,sheep,France,Pays Basque,NA,"semi-hard, artisan",NA,NA,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE,Abbaye Notre-Dame de Belloc,NA,NA
https://www.cheese.com/abondance/,cow,France,NA,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE,Tomme d'Abondance,NA,NA
https://www.cheese.com/abbaye-de-citeaux/,cow,France,Burgundy,NA,"semi-soft, artisan, brined",NA,NA,"creamy, dense, smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",FALSE,FALSE,NA,NA,NA
https://www.cheese.com/tamie/,cow,France,Savoie,NA,"soft, artisan",NA,NA,"creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",FALSE,FALSE,NA,"Tamié, Trappiste de Tamie, Abbey of Tamie",NA
https://www.cheese.com/abbaye-du-mont-des-cats/,cow,France,Nord-Pas-de-Calais,NA,"semi-soft, artisan, brined",50%,NA,"smooth, supple",washed,pale yellow,"milky, salty",floral,FALSE,FALSE,NA,NA,Abbaye du Mont des Cats
https://www.cheese.com/ackawi/,"cow, goat, sheep","Cyprus, Egypt, Israel, Jordan, Lebanon, Middle East, Syria",+,Feta,"soft, brined",NA,NA,"elastic, smooth, springy",natural,white,"mild, milky, salty","mild, milky",FALSE,FALSE,NA,"Akkawi , Akawieh, Akawi",NA
https://www.cheese.com/abbaye-de-timadeuc/,cow,France,province of Brittany,NA,semi-hard,NA,NA,soft,washed,pale yellow,"salty, smooth",nutty,FALSE,FALSE,NA,NA,Abbaye Cistercienne NOTRE-DAME DE TIMADEUC
https://www.cheese.com/adelost/,cow,Sweden,NA,Blue,"semi-soft, blue-veined",50%,NA,creamy,natural,blue,"salty, sharp, tangy",strong,NA,NA,NA,NA,NA
https://www.cheese.com/affineur-walo-rotwein-sennechas/,cow,Switzerland,NA,Swiss Cheese,"hard, artisan",NA,NA,smooth,washed,cream,"creamy, pronounced, spicy","rich, strong",FALSE,FALSE,Affineur Walo Red Wine Farmer,NA,Walo von Mühlenen AG
https://www.cheese.com/afuegal-pitu/,cow,Spain,Asturias,NA,"soft, artisan",NA,NA,smooth,cloth wrapped,NA,"spicy, strong",NA,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/aged-british-cheddar/,cow,United States,NY,Cheddar,"hard, artisan",NA,NA,"crumbly, crystalline, flaky",natural,pale yellow,"sharp, tangy","nutty, sweet",NA,NA,NA,NA,Muranda Cheese Company
https://www.cheese.com/aged-gouda/,"cow, goat, sheep",Netherlands,NA,Gouda,hard,NA,NA,"crumbly, crystalline, dense",waxed,yellow,NA,rich,NA,NA,Oud Gouda,NA,NA
https://www.cheese.com/aged-cheddar/,cow,United States,NA,NA,hard,NA,NA,"buttery, creamy, crumbly",rindless,golden yellow,"creamy, earthy, nutty","earthy, nutty",TRUE,FALSE,NA,NA,"Maple Grove Cheese, INC."
https://www.cheese.com/alex-james-co-no-1-cheddar/,cow,United Kingdom,NA,NA,hard,NA,NA,"creamy, crumbly",NA,yellow,sweet,NA,NA,NA,NA,NA,NA
https://www.cheese.com/aisy-cendre/,cow,France,Burgundy,NA,"semi-soft, smear-ripened",50%,NA,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,"Cendre d'Aisy, Ashen Aisy",NA,NA
https://www.cheese.com/alex-james-co-no-2-blue-monday/,cow,United Kingdom,NA,NA,semi-soft,NA,NA,"creamy, semi firm",NA,blue,NA,"spicy, sweet",NA,NA,NA,NA,NA
https://www.cheese.com/alex-james-co-no-3-valley-brie/,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,pale white,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/alex-james-co-no-4-goats/,goat,United Kingdom,NA,NA,fresh soft,NA,NA,"smooth, springy",NA,pale white,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/alisia-victoria/,cow,Switzerland,NA,NA,firm,NA,NA,smooth,natural,golden yellow,buttery,nutty,NA,NA,NA,NA,Eyeweid
https://www.cheese.com/alex-james-co-no-5-grunge/,cow,United Kingdom,NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft",washed,orange,NA,NA,NA,NA,NA,NA,NA
https://www.cheese.com/allgauer-emmentaler/,cow,Germany,Swabia,NA,hard,45%,NA,firm,natural,yellow,nutty,pungent,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/alpkase/,cow,Switzerland,NA,NA,hard,NA,NA,dense,natural,golden yellow,herbaceous,rich,FALSE,FALSE,Alpkase,NA,Jumi
https://www.cheese.com/amarelo-de-beira-baixa/,"goat, sheep",Portugal,Beira Baixa Province,NA,"semi-firm, artisan",45-60%,NA,,NA,yellow,acidic,NA,FALSE,FALSE,"Amarelo da Beira Baixa Cheese (DOP), Queijo amarelo da Beira Baixa",NA,NA
https://www.cheese.com/alpha-tolman/,cow,United States,"Greensboro, VT",Swiss Cheese,"semi-hard, artisan",NA,NA,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,NA,NA,Jasper Hill Farm
https://www.cheese.com/ami-du-chambertin/,cow,France,"Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined",45%,NA,smooth,washed,white,"buttery, sharp",NA,FALSE,FALSE,L'Ami du Chambertin,NA,NA
https://www.cheese.com/amul-cheese-spread/,cow,India,Gujarat,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
https://www.cheese.com/american-cheese/,cow,United States,NA,NA,"semi-soft, processed",NA,NA,smooth,rindless,yellow,NA,mild,FALSE,FALSE,NA,NA,NA
https://www.cheese.com/amul-processed-cheese/,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed",26%,343 mg/100g,"crumbly, dense",artificial,yellow,"buttery, creamy, salty",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
https://www.cheese.com/anari/,"goat, sheep",Cyprus,island wide,Cottage,"fresh soft, hard, artisan",8%,NA,"brittle, creamy, flaky",natural,white,"creamy, mild, salty",NA,NA,NA,"Dry Anari, Fresh Anari",NA,NA
https://www.cheese.com/anejo-enchilado/,"cow, goat",Mexico,NA,NA,semi-hard,NA,NA,"crumbly, firm",NA,white,"salty, sharp, spicy, strong",strong,FALSE,FALSE,"Queso Añejo, Añejo",NA,NA
https://www.cheese.com/anster/,cow,Scotland,Fife,NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,ivory,milky,"milky, rich",NA,NA,NA,NA,St Andrews Farmhouse Cheese Company
https://www.cheese.com/anthotyro/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey",30%,318 mg/100g,crumbly,natural,white,"salty, tangy",strong,NA,NA,"Anthotyro Fresco, Anthotyro","Anthotiro, Antotiro",NA
https://www.cheese.com/appenzeller/,cow,Switzerland,NA,NA,"hard, artisan",NA,NA,firm,washed,NA,"fruity, nutty",strong,NA,NA,NA,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",NA
https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,NA,NA,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE,Applewood smoked cheddar,NA,Ilchester Cheese Company
https://www.cheese.com/ardrahan/,cow,Ireland,Duhallow,NA,"semi-soft, brined",25%,NA,"chalky, smooth",washed,yellow,"acidic, buttery, nutty","earthy, pungent",TRUE,FALSE,NA,NA,Ardrahan Dairy Products Ltd.
